"document","rc","mutation_target","mutation_operator","discrepancy_type","preconditions","chain_role","impact_primary","primary_controls","confidence","scope"
"the-map/01-injection/command-injection.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","SINK","RCE","PARAMETERIZED_EXECUTION","HIGH","VULN"
"the-map/01-injection/css-injection.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","PIVOT","DATA_EXFILTRATION","CONTEXT_AWARE_OUTPUT_ENCODING","MEDIUM","VULN"
"the-map/01-injection/csv-formula-injection.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","PIVOT","DATA_EXFILTRATION","CONTEXT_AWARE_OUTPUT_ENCODING","MEDIUM","VULN"
"the-map/01-injection/el-injection.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","PIVOT","DATA_EXFILTRATION","CONTEXT_AWARE_OUTPUT_ENCODING","MEDIUM","VULN"
"the-map/01-injection/graphql.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","PIVOT","DATA_EXFILTRATION","CONTEXT_AWARE_OUTPUT_ENCODING","MEDIUM","VULN"
"the-map/01-injection/latex-injection.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","PIVOT","DATA_EXFILTRATION","CONTEXT_AWARE_OUTPUT_ENCODING","MEDIUM","VULN"
"the-map/01-injection/ldap-xpath.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","PIVOT","DATA_EXFILTRATION","CONTEXT_AWARE_OUTPUT_ENCODING","MEDIUM","VULN"
"the-map/01-injection/nosql-injection.md","RC1","PARAMETER","TYPE_COERCION","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","SINK","ATO","PARAMETERIZED_EXECUTION","HIGH","VULN"
"the-map/01-injection/orm-misuse-sql-injection.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","PIVOT","DATA_EXFILTRATION","CONTEXT_AWARE_OUTPUT_ENCODING","MEDIUM","VULN"
"the-map/01-injection/protocol-level-injection.md","RC1","PAYLOAD_BODY","CONTEXT_SWITCH","VALIDATION_GAP","AMBIGUOUS_INPUT_ACCEPTED","PIVOT","DATA_EXFILTRATION","CONTEXT_AWARE_OUTPUT_ENCODING","MEDIUM","VULN"
