rc,impact,possible_combos,observed_combos,coverage_ratio,gap_ratio
RC1,RCE,159,0,0.0000,1.0000
RC1,DATA_EXFILTRATION,159,1,0.0063,0.9937
RC1,ATO,159,2,0.0126,0.9874
RC1,DOS,159,0,0.0000,1.0000
RC1,INTEGRITY_TAMPERING,159,0,0.0000,1.0000
RC2,DATA_EXFILTRATION,261,3,0.0115,0.9885
RC2,PRIVILEGE_ESCALATION,261,0,0.0000,1.0000
RC2,SESSION_HIJACK,261,0,0.0000,1.0000
RC2,DOS,261,0,0.0000,1.0000
RC2,SSRF_INTERNAL_ACCESS,261,2,0.0077,0.9923
RC2,RECON_ENABLEMENT,261,1,0.0038,0.9962
RC3,ATO,147,0,0.0000,1.0000
RC3,PRIVILEGE_ESCALATION,147,0,0.0000,1.0000
RC3,SESSION_HIJACK,147,0,0.0000,1.0000
RC3,DATA_EXFILTRATION,147,0,0.0000,1.0000
RC4,PRIVILEGE_ESCALATION,171,0,0.0000,1.0000
RC4,DATA_EXFILTRATION,171,0,0.0000,1.0000
RC4,ATO,171,0,0.0000,1.0000
RC5,FINANCIAL_FRAUD,96,1,0.0104,0.9896
RC5,PRIVILEGE_ESCALATION,96,1,0.0104,0.9896
RC5,ATO,96,2,0.0208,0.9792
RC5,DOS,96,0,0.0000,1.0000
RC6,RCE,84,0,0.0000,1.0000
RC6,DATA_EXFILTRATION,84,0,0.0000,1.0000
RC6,DOS,84,0,0.0000,1.0000
RC7,SSRF_INTERNAL_ACCESS,192,1,0.0052,0.9948
RC7,RCE,192,0,0.0000,1.0000
RC7,DATA_EXFILTRATION,192,0,0.0000,1.0000
RC7,LATERAL_MOVEMENT,192,0,0.0000,1.0000
RC7,ATO,192,1,0.0052,0.9948
RC8,PRIVILEGE_ESCALATION,153,0,0.0000,1.0000
RC8,LATERAL_MOVEMENT,153,0,0.0000,1.0000
RC8,ATO,153,2,0.0131,0.9869
RC8,SSRF_INTERNAL_ACCESS,153,1,0.0065,0.9935
RC8,RCE,153,1,0.0065,0.9935
RC9,RECON_ENABLEMENT,180,0,0.0000,1.0000
RC9,DATA_EXFILTRATION,180,0,0.0000,1.0000
RC9,SESSION_HIJACK,180,0,0.0000,1.0000
