rank,rc,mutation_target,mutation_operator,discrepancy_type,chain_role,impact_primary,gap_score,prefix_coverage
1,RC3,STATE_TRANSITION,REPLAY,VALIDATION_GAP,SINK,ATO,315.90,0.0000
2,RC1,PARSER_CONTEXT,STRUCTURAL_REWRITE,CONTROL_EVASION,SINK,RCE,315.90,0.0000
3,RC1,NAMESPACE,STRUCTURAL_REWRITE,CONTROL_EVASION,SINK,RCE,315.90,0.0000
4,RC3,CRYPTO_PARAMETER,REPLAY,AUTH_BINDING_GAP,SINK,ATO,315.90,0.0000
5,RC1,PAYLOAD_BODY,STRUCTURAL_REWRITE,CONTROL_EVASION,SINK,RCE,315.90,0.0000
6,RC3,TOKEN,REPLAY,AUTH_BINDING_GAP,SINK,ATO,315.90,0.0000
7,RC3,CRYPTO_PARAMETER,KEY_SUBSTITUTION,AUTH_BINDING_GAP,SINK,ATO,315.90,0.0000
8,RC3,STATE_TRANSITION,REPLAY,AUTH_BINDING_GAP,SINK,ATO,315.90,0.0000
9,RC3,TOKEN,KEY_SUBSTITUTION,AUTH_BINDING_GAP,SINK,ATO,315.90,0.0000
10,RC3,CRYPTO_PARAMETER,REPLAY,VALIDATION_GAP,SINK,ATO,315.90,0.0000
11,RC3,TOKEN,REPLAY,VALIDATION_GAP,SINK,ATO,315.90,0.0000
12,RC1,PARSER_CONTEXT,STRUCTURAL_REWRITE,PARSER_DIFFERENTIAL,SINK,RCE,315.73,0.0000
13,RC1,PAYLOAD_BODY,STRUCTURAL_REWRITE,PARSER_DIFFERENTIAL,SINK,RCE,315.73,0.0000
14,RC1,NAMESPACE,STRUCTURAL_REWRITE,PARSER_DIFFERENTIAL,SINK,RCE,315.73,0.0000
15,RC1,PAYLOAD_BODY,CONTEXT_SWITCH,CONTROL_EVASION,SINK,RCE,315.70,0.0000
16,RC1,PARSER_CONTEXT,CONTEXT_SWITCH,CONTROL_EVASION,SINK,RCE,315.70,0.0000
17,RC3,CRYPTO_PARAMETER,REPLAY,STATE_DESYNC,SINK,ATO,315.65,0.0000
18,RC3,TOKEN,REPLAY,STATE_DESYNC,SINK,ATO,315.65,0.0000
19,RC1,PARSER_CONTEXT,STRUCTURAL_REWRITE,STATE_DESYNC,SINK,RCE,315.65,0.0000
20,RC1,NAMESPACE,STRUCTURAL_REWRITE,STATE_DESYNC,SINK,RCE,315.65,0.0000
